Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
1,CTGAN,0.995,1.0,0.9444444444444444,0.9714285714285714,0.9954212454212454,0.9747474747474748
2,Engineered LightGBM,0.995,1.0,0.9444444444444444,0.9714285714285714,0.9963369963369964,0.977777777777778
3,SMOTE,0.995,1.0,0.9444444444444444,0.9714285714285714,0.9984737484737484,0.9879227053140098
4,Original,0.995,1.0,0.9444444444444444,0.9714285714285714,0.997863247863248,0.9844444444444446
5,CatBoost,0.992,0.9777089783281736,0.9350877192982456,0.9555054302422724,0.9909712835708764,
6,LightGBM,0.991,0.9694736842105264,0.9350877192982456,0.9506198765022296,0.9805002306020044,
7,XGBoost,0.989,0.9682352941176472,0.9134502923976608,0.938901098901099,0.9842777896717996,
8,Random Forest,0.989,1.0,0.8807017543859651,0.9360852219675748,0.9969075809654466,
9,Logistic Regression,0.987,0.9162573099415204,0.9461988304093566,0.930298719772404,0.9750167315157136,
10,Decision Tree,0.985,0.9222222222222222,0.924561403508772,0.9203907203907205,0.9578759904435972,
